(27, 221)
(28, 223)
(29, 223)
(29, 224)
(29, 225)
(30, 224)
(30, 225)
(30, 226)
(31, 226)
(32, 227)
(32, 228)
(32, 229)
(33, 227)
(33, 228)
(33, 229)
(33, 230)
(33, 231)
(34, 231)
(34, 232)
(34, 233)
(35, 233)
(35, 234)
(35, 235)
(35, 237)
(36, 233)
(36, 234)
(36, 235)
(36, 236)
(36, 237)
(36, 238)
(37, 235)
(37, 236)
(37, 237)
(37, 238)
(37, 239)
(37, 240)
(37, 241)
(38, 237)
(38, 238)
(38, 239)
(38, 240)
(38, 241)
(38, 242)
(38, 243)
(38, 244)
(38, 245)
(39, 241)
(39, 242)
(39, 243)
(39, 244)
(39, 245)
(39, 246)
(39, 247)
(40, 246)
(40, 247)
(40, 248)
(40, 249)
(40, 250)
(40, 251)
(40, 252)
(40, 253)
(40, 254)
(40, 255)
(40, 256)
(40, 257)
(40, 258)
(41, 257)
(41, 258)
(41, 259)
(41, 260)
(41, 261)
(41, 262)
(41, 263)
(41, 264)
(41, 265)
(41, 266)
(41, 267)
(41, 268)
(41, 269)
(41, 270)
(41, 271)
(42, 254)
(42, 265)
(42, 267)
(42, 268)
(42, 269)
(42, 270)
(42, 271)
(42, 272)
(42, 273)
(43, 252)
(43, 266)
(43, 271)
(43, 272)
(43, 273)
(43, 274)
(43, 275)
(44, 272)
(44, 273)
(44, 274)
(44, 275)
(44, 276)
(44, 277)
(45, 274)
(45, 277)
(45, 278)
(46, 275)
(46, 276)
(46, 278)
(46, 279)
(46, 280)
(47, 277)
(47, 278)
(47, 279)
(47, 280)
(47, 281)
(48, 280)
(48, 281)
(48, 282)
(48, 283)
(49, 282)
(49, 283)
(49, 284)
(50, 283)
(50, 284)
(50, 285)
(51, 281)
(51, 284)
(51, 285)
(51, 286)
(51, 287)
(52, 284)
(52, 285)
(52, 286)
(52, 287)
(52, 288)
(52, 289)
(53, 285)
(53, 286)
(53, 287)
(53, 288)
(53, 289)
(53, 290)
(53, 291)
(54, 286)
(54, 287)
(54, 288)
(54, 289)
(54, 290)
(54, 291)
(54, 292)
(55, 287)
(55, 288)
(55, 289)
(55, 290)
(55, 291)
(55, 292)
(55, 293)
(56, 288)
(56, 289)
(56, 290)
(56, 291)
(56, 292)
(56, 293)
(56, 294)
(57, 290)
(57, 291)
(57, 292)
(57, 293)
(57, 294)
(57, 295)
(57, 296)
(58, 292)
(58, 293)
(58, 294)
(58, 295)
(58, 296)
(58, 297)
(59, 288)
(59, 294)
(59, 295)
(59, 296)
(59, 298)
(60, 294)
(60, 295)
(60, 296)
(60, 297)
(60, 298)
(60, 299)
(60, 300)
(61, 296)
(61, 297)
(61, 298)
(61, 299)
(61, 300)
(61, 301)
(62, 297)
(62, 298)
(62, 299)
(62, 300)
(62, 301)
(62, 302)
(63, 300)
(63, 301)
(63, 302)
(63, 303)
(64, 300)
(64, 301)
(64, 302)
(64, 303)
(64, 304)
(64, 305)
(65, 301)
(65, 302)
(65, 303)
(65, 304)
(65, 305)
(65, 306)
(66, 302)
(66, 303)
(66, 304)
(66, 305)
(66, 306)
(66, 307)
(66, 310)
(67, 303)
(67, 304)
(67, 305)
(67, 306)
(67, 307)
(67, 308)
(67, 309)
(68, 305)
(68, 306)
(68, 307)
(68, 308)
(68, 309)
(68, 310)
(69, 305)
(69, 306)
(69, 307)
(69, 308)
(69, 309)
(69, 310)
(69, 311)
(70, 305)
(70, 307)
(70, 308)
(70, 309)
(70, 310)
(70, 311)
(70, 312)
(71, 309)
(71, 310)
(71, 313)
(72, 310)
(72, 311)
(72, 312)
(72, 313)
(72, 314)
(73, 312)
(73, 313)
(73, 314)
(73, 315)
(73, 316)
(73, 317)
(74, 312)
(74, 313)
(74, 314)
(74, 315)
(74, 316)
(74, 317)
(75, 314)
(75, 315)
(75, 316)
(75, 317)
(75, 318)
(76, 237)
(76, 238)
(76, 316)
(76, 317)
(76, 318)
(76, 319)
(77, 147)
(77, 317)
(77, 318)
(77, 319)
(77, 320)
(78, 317)
(78, 318)
(78, 319)
(78, 320)
(78, 321)
(79, 233)
(79, 320)
(79, 321)
(80, 229)
(80, 320)
(80, 321)
(80, 322)
(81, 205)
(81, 207)
(81, 209)
(81, 211)
(81, 217)
(81, 219)
(81, 220)
(81, 221)
(81, 222)
(81, 223)
(81, 224)
(81, 225)
(81, 226)
(81, 227)
(81, 228)
(81, 229)
(81, 230)
(81, 320)
(81, 321)
(81, 322)
(81, 323)
(82, 188)
(82, 190)
(82, 194)
(82, 202)
(82, 205)
(82, 206)
